model,rows,positive_rows,threshold,pr_auc,roc_auc,precision,recall,f1,recall_at_top_10pct,tp,fp,tn,fn,prediction_file
linear_regression_baseline,7790,403,0.08,0.11637012684979917,0.677699338352098,0.11467889908256881,0.31017369727047145,0.16744809109176156,0.24813895781637718,125,965,6422,278,linear_regression_baseline_test_predictions.csv
logistic_regression,7790,403,0.58,0.11190316470345732,0.6884389819013417,0.10078828828828829,0.4441687344913151,0.16429554841670488,0.24317617866004962,179,1597,5790,224,logistic_regression_test_predictions.csv
random_forest,7790,403,0.74,0.3066765664531014,0.8567905323583346,0.2757417102966841,0.3920595533498759,0.32377049180327866,0.46898263027295284,158,415,6972,245,random_forest_test_predictions.csv
